Filial;Hist;Nome Filial;Endereço;Bairro;Cidade;UF;Logomarca;Telefone;IP Banco 12
1939;618;PA TRISTEZA A;AVENIDA WENCESLAU ESCOBAR, 2287 , CEP - 91900000;CRISTAL;PORTO ALEGRE;RS;RAIA;(51) 30227484          ;192.201.118.12
1940;619;RJ FLAMENGO B;RUA MARQUES DE ABRANTES, 143 , CEP - 22230061;FLAMENGO;RIO DE JANEIRO;RJ;RAIA; ;192.201.119.12
1941;688;CARUARU 1;AV AGAMENON MAGALHAES, 982 , CEP - 55014000;MAURICIO DE NASSAU;CARUARU;PE;DROGASIL;(81) 37259766/37259251 ;10.242.188.12
1942;620;SP MORUMBI A;RUA REGENTE LEON KANIEFSKY, 610 , CEP - 05617030;MORUMBI;SAO PAULO;SP;RAIA;(11) 37212108          ;10.142.120.12
1945;621;RIBEIRAO PRETO H;AVENIDA ITATIAIA, 115 , CEP - 14025070;JARDIM SUMARE;RIBEIRAO PRETO;SP;RAIA;(16) 39134861          ;10.142.121.12
1946;622;NITEROI F;RUA DA CONCEICAO, 29 , CEP - 24020080;CENTRO;NITEROI;RJ;RAIA;(21) 27191349          ;192.201.122.12
1949;767;SP ACLIMACAO 3;AVENIDA LINS DE VASCONCELOS, 1837 , CEP - 01537001;CAMBUCI;SAO PAULO;SP;DROGASIL;(11) 50830889/ 50830611;10.243.17.12
1952;768;BOTUCATU 3;RUA MAJOR MATHEUS, 610 , CEP - 18609083;VILA DOS LAVRADORES;BOTUCATU;SP;DROGASIL;(14) 3813-9092         ;10.243.18.12
1953;769;TATUI 2;R SAO BENTO, 615 , CEP - 18270820;CENTRO;TATUI;SP;DROGASIL;(15) 32519251          ;10.243.19.12
1954;770;VILA VELHA 7;AVENIDA CARLOS LINDENBERG, 857 , CEP - 29106405;CRISTOVAO COLOMBO;VILA VELHA;ES;DROGASIL;(27) 30633568/30621509 ;10.243.20.12
1955;771;GUARAPARI 2;AVENIDA EWERSON DE ABREU SODRE, 0 , CEP - 29215010;MUQUICABA;GUARAPARI;ES;DROGASIL;(27) 32615627          ;10.243.21.12
1956;625;RJ COPACABANA G;RUA SA FERREIRA, 25 , CEP - 22071100;COPACABANA;RIO DE JANEIRO;RJ;RAIA;(21) 25233520          ;192.201.125.12
1957;772;SP NOV CANTAREIRA 1;AVENIDA NOVA CANTAREIRA, 170 , CEP - 02330000;TUCURUVI;SAO PAULO;SP;DROGASIL;(11) 35306743/ 35306752;10.243.22.12
1958;773;SANTO ANDRE 7;AVENIDA HIGIENOPOLIS, 325 , CEP - 09190360;VILA GILDA;SANTO ANDRE;SP;DROGASIL;(11) 44250082/ 44294540;10.243.23.12
1959;774;SAO ROQUE 1;AVENIDA BRASIL, 107 , CEP - 18130485;CENTRO;SAO ROQUE;SP;DROGASIL;(11) 47125439/57125335 ;10.243.24.12
1960;775;SAO VICENTE 2;AV PRESIDENTE WILSON, 962 , CEP - 11320000;CENTRO;SAO VICENTE;SP;DROGASIL;(13) 30433135          ;10.243.25.12
1961;626;NITEROI G;R QUINZE DE NOVEMBRO, 8 , CEP - 24020125;CENTRO;NITEROI;RJ;RAIA;(21) 26223387          ;192.201.126.12
1962;627;CAMPOS GOYTACAZES B;AVENIDA PELINCA, 231 , CEP - 28035053;PARQUE TAMANDARE;CAMPOS DOS GOYTACAZES;RJ;RAIA;(22) 2725-1596         ;192.201.127.12
1963;628;SP CERQ CESAR E;RUA OSCAR FREIRE, 733 , CEP - 01426003;CERQUEIRA CESAR;SAO PAULO;SP;RAIA;(11) 30815905          ;10.142.128.12
1964;689;RC BOA VISTA 1;CONDE DA BOA VISTA, 605 , CEP - 50060004;B VISTA;RECIFE;PE;DROGASIL;(81) 33215297          ;10.242.189.12
1965;776;SP JD ESTER 1;RUA JOSE FILIPE DA SILVA, 345 , CEP - 05372040;JARDIM ESTER;SAO PAULO;SP;DROGASIL;(11) 37814093/37816489 ;10.243.26.12
1966;777;SP VL CARRAO 2;AVENIDA CONSELHEIRO CARRAO, 3445 , CEP - 03403003;VILA CARRAO;SAO PAULO;SP;DROGASIL;(11) 20930444          ;10.243.27.12
1968;778;VILA VELHA 8;RUA LUCIANO DAS NEVES, 2418 , CEP - 29107010;DIVINO ESPIRITO SANTO;VILA VELHA;ES;DROGASIL;(27) 35332272/ 35332273;10.243.28.12
1969;779;SP REPUBLICA 3;RUA SANTO ANTONIO, 459 , CEP - 01314000;BELA VISTA;SAO PAULO;SP;DROGASIL;(11) 31018651          ;10.243.29.12
1971;780;SP SANTA CRUZ 1;RUA LOEFGREN, 373 , CEP - 04040030;VILA CLEMENTINO;SAO PAULO;SP;DROGASIL;(11) 50836549          ;10.243.30.12
1972;781;CP VL ESTANISLAU 1;AVENIDA JOSE DE SOUZA CAMPOS, 1885 , CEP - 13025320;CAMBUI;CAMPINAS;SP;DROGASIL;(19) 99889-9250        ;10.243.31.12
1973;692;AJ LUZIA 1;AVENIDA ADELIA FRANCO, 2234 , CEP - 49048010;LUZIA;ARACAJU;SE;DROGASIL;(79) 32175734          ;10.242.192.12
1974;693;RC ENCRUZILHADA 1;AVENIDA BEBERIBE, 174 , CEP - 52041430;ENCRUZILHADA;RECIFE;PE;DROGASIL;(81) 32418469          ;10.242.193.12
1975;629;SP LAUZANE B;AVENIDA IMIRIM, 2280 , CEP - 02464300;IMIRIM;SAO PAULO;SP;RAIA;(11) 22082434          ;10.142.129.12
1976;782;CP JD FLAMBOYANT 1;RUA PRESIDENTE ALVES, 1488 , CEP - 13090885;JARDIM ALTO DA BARRA;CAMPINAS;SP;DROGASIL;(19) 32534442          ;10.243.32.12
1977;783;SP ALT IPIRANGA 1;RUA CIPRIANO BARATA, 1534 , CEP - 04205001;IPIRANGA;SAO PAULO;SP;DROGASIL;(11) 20616915/22150279 ;10.243.33.12
1978;784;DF ASA SUL 12;CLS 305 BLOCO D, S/N , CEP - 70352540;ASA SUL;BRASILIA;DF;DROGASIL;(61) 32427191/32449388 ;10.243.34.12
1979;630;ARARUAMA A;AVENIDA GETULIO VARGAS, 221 , CEP - 28970000;CENTRO;ARARUAMA;RJ;RAIA;(22) 26615604          ;192.201.130.12
1980;631;SP ANALIA FRANCO C;AVENIDA REGENTE FEIJO, 639 , CEP - 03342000;VILA REGENTE FEIJO;SAO PAULO;SP;RAIA;(11) 20210003          ;10.142.131.12
1981;632;APUCARANA B;AVENIDA PARANA, 13 , CEP - 86804340;VILA IVONE;APUCARANA;PR;RAIA;(43) 34258917          ;192.201.132.12
1982;633;SP VL LEOPOLDINA B;RUA CARLOS WEBER, 550 , CEP - 05303000;VILA LEOPOLDINA;SAO PAULO;SP;RAIA;(11) 40072524          ;10.142.133.12
1984;786;SP VILA OLIMPIA 2;AVENIDA DOUTOR CARDOSO DE MELO, 510 , CEP - 04548002;VILA OLIMPIA;SAO PAULO;SP;DROGASIL;(11) 38419542          ;10.243.36.12
1985;264;UBA 1;PRACA DA INDEPENDENCIA, 525 , CEP - 36500000;CENTRO;UBA;MG;DROGASIL;(32) 35326725/35315082 ;10.241.14.12
1986;694;JP MIRAMAR 1;AVENIDA PRESIDENTE EPITACIO PESSOA, 3747 , CEP - 58032000;MIRAMAR;JOAO PESSOA;PB;DROGASIL;(83) 30344932          ;10.242.194.12
1987;787;DOURADOS 2;MARCELINO PIRES, 4130 , CEP - 79830000;JD CARAMURU;DOURADOS;MS;DROGASIL;(67) 34240424          ;10.243.37.12
1988;695;RC TORRE 1;RUA VISCONDE DE ITAPARICA, 25 , CEP - 50710090;TORRE;RECIFE;PE;DROGASIL;(81) 30401593/30398257 ;10.242.195.12
1990;635;FL FATIMA A;RUA GENERAL LIBERATO BITTENCOURT, 1821 , CEP - 88075400;BALNEARIO;FLORIANOPOLIS;SC;RAIA;(48) 33480531          ;192.201.135.12
1992;637;MARILIA D;RUA DOUTOR JOAQUIM DE ABREU SAMPAIO VIDAL, 260 , CEP - 17506130;ALTO CAFEZAL;MARILIA;SP;RAIA;(14) 34221918          ;10.142.137.12
1993;788;SP CURSINO 1;AV DO CURSINO, 1537 , CEP - 04133100;SAUDE;SAO PAULO;SP;DROGASIL;(11) 50585099/50585769 ;10.243.38.12
1994;789;SP PLANALTO PTA 1;AVENIDA INDIANOPOLIS, 3164 , CEP - 04062003;INDIANOPOLIS;SAO PAULO;SP;DROGASIL;(11) 25772825          ;10.243.39.12
1995;790;GUARULHOS 4;AVENIDA PAULO FACCINI, 2375 , CEP - 07111000;MACEDO;GUARULHOS;SP;DROGASIL;(11) 49647760/49645111 ;10.243.40.12
1996;791;GUARULHOS 5;AVENIDA DOUTOR TIMOTEO PENTEADO, 1936 , CEP - 07094000;VILA HULDA;GUARULHOS;SP;DROGASIL;(11) 24532119          ;10.243.41.12
1997;792;SP VL GUMERCINDO 1;RUA VIGARIO ALBERNAZ, 784 , CEP - 04134021;VILA GUMERCINDO;SAO PAULO;SP;DROGASIL;(11) 50615381/50615848 ;10.243.42.12
1998;638;SP VL CARRAO B;RUA SERRA DE BOTUCATU, 1658 , CEP - 03317001;VILA GOMES CARDIM;SAO PAULO;SP;RAIA;(11) 22250773          ;10.142.138.12
1999;639;GUARUJA E;ESTRADA DO PERNAMBUCO, 568 , CEP - 11443410;LOTEAMENTO JOAO BATISTA JULIAO;GUARUJA;SP;RAIA;(13) 33514171          ;10.142.139.12
2000;640;SAO VICENTE C;AVENIDA PRESIDENTE WILSON, 1161 , CEP - 11320001;ITARARE;SAO VICENTE;SP;RAIA;(13) 30432542          ;10.142.140.12
2003;643;SERTAOZINHO B;AVENIDA ANTONIO PASCHOAL, 30 , CEP - 14170000;JARDIM BRASILIA;SERTAOZINHO;SP;RAIA;(16) 39422374          ;10.142.143.12
2004;644;BIRIGUI B;RUA BARAO DO RIO BRANCO, 1350 , CEP - 16200001;CENTRO;BIRIGUI;SP;RAIA;(18) 36443835          ;10.142.144.12
2005;793;SP AGUA RASA 2;AVENIDA SAPOPEMBA, 2848 , CEP - 03345000;VILA REGENTE FEIJO;SAO PAULO;SP;DROGASIL;(11) 20210910/ 20211599;10.243.43.12
2006;794;SP VILA MATILDE 1;RUA DONA MATILDE, 391 , CEP - 03512000;VL MATILDE;SAO PAULO;SP;DROGASIL; 22892048          ;10.243.44.12
2007;645;SP VL CLEMENTINO C;AV DOUTOR ALTINO ARANTES, 340 , CEP - 04042002;VILA CLEMENTINO;SAO PAULO;SP;RAIA;(11) 22758663          ;10.142.145.12
2008;795;S BERNARDO CAMPO 7;AVENIDA MARIA SERVIDEI DEMARCHI, 1500 , CEP - 09820000;DEMARCHI;SAO BERNARDO DO CAMPO;SP;DROGASIL;(11) 43470956          ;10.243.45.12
2009;646;RIBEIRAO PRETO I;RUA CATARINA APARECIDA NAVIS SILVA, 246 , CEP - 14026565;NOVA ALIANCA;RIBEIRAO PRETO;SP;RAIA;(16) 39045066          ;10.142.146.12
2010;696;MC JATIUCA 2;RUA JOSE LUIZ CALAZANS, 132 , CEP - 57035850;JATIUCA;MACEIO;AL;DROGASIL;(82) 33550026/33550174 ;10.242.196.12
2012;648;RJ CACHAMBI B;AVENIDA DOM HELDER CAMARA, 5474 , CEP - 20771004;PILARES;RIO DE JANEIRO;RJ;RAIA;(21) 39798669          ;192.201.148.12
2014;650;SP CHACARA KLABIN B;AVENIDA PREFEITO FABIO PRADO, 2201 , CEP - 04116001;JARDIM VILA MARIANA;SAO PAULO;SP;RAIA;(11) 55491540          ;10.142.150.12
2016;652;SP PAULISTA D;RUA TREZE DE MAIO, 1947 , CEP - 01327900;BELA VISTA;SAO PAULO;SP;RAIA;(00) ;10.142.152.12
2017;697;AJ JARDINS 2;AVENIDA MINISTRO GERALDO BARRETO SOBRAL, 215 , CEP - 49026010;JARDINS;ARACAJU;SE;DROGASIL;(79) 32315959/32314952 ;10.242.197.12
2018;796;SP TATUAPE 4;RUA ANTONIO DE BARROS, 1568 , CEP - 03401001;VILA CARRAO;SAO PAULO;SP;DROGASIL;(11) 2094-6529         ;10.243.46.12
2019;797;DF AGUAS CLARAS 3;AVENIDA DAS ARAUCARIAS, 885 , CEP - 71936251;SUL AGUAS CLARAS;BRASILIA;DF;DROGASIL;(61) 33820816          ;10.243.47.12
2020;698;CAMACARI 1;RUA COSTA PINTO, 408 , CEP - 42800040;CENTRO;CAMACARI;BA;DROGASIL;(71) 30546016/30545796 ;10.242.198.12
2021;798;SP JD PRUDENCIA 1;RUA JOSE NEVES, 415 , CEP - 04650141;VILA SAO PAULO;SAO PAULO;SP;DROGASIL;(11) 55239147/55239218 ;10.243.48.12
2022;653;VOTUPORANGA B;AVENIDA BRASIL, 5004 , CEP - 15500051;JARDIM SAO JUDAS TADEU;VOTUPORANGA;SP;RAIA;(17) 34211288          ;10.142.153.12
2024;654;SP VILA MASCOTE B;AVENIDA SANTA CATARINA, 571 , CEP - 04635001;VL ALEXANDRIA;SAO PAULO;SP;RAIA;(11) 50314126          ;10.142.154.12
2025;655;FOZ DO IGUACU B;AVENIDA PARANA, 1229 , CEP - 85852000;CENTRO;FOZ DO IGUACU;PR;RAIA;(45) 35271255          ;192.201.155.12
2026;656;PINDAMONHANGABA B;AV DO BOM SUCESSO, 927 , CEP - 12420010;ALTO DO CARDOSO;PINDAMONHANGABA;SP;RAIA;(12) 36428721          ;10.142.156.12
2027;657;MOGI MIRIM B;RUA PADRE ROQUE, 709 , CEP - 13800207;JD ÁUREA;MOGI MIRIM;SP;RAIA;(19) 38062261          ;10.142.157.12
2028;799;SP ERM MATARAZZO 2;AVENIDA SAO MIGUEL, 4537 , CEP - 03871100;PARQUE BOTURUSSU;SAO PAULO;SP;DROGASIL;(11) 25450177 /24513950;10.243.49.12
2031;699;AJ ATALAIA 1;AVENIDA DELMIRO GOUVEIA, 400 , CEP - 49035500;COROA DO MEIO;ARACAJU;SE;DROGASIL;(79) 32311019/32318072 ;10.242.199.12
2032;801;DF ASA SUL 13;EQS 404/405, 0 , CEP - 70238400;A SUL;BRASÍLIA;DF;DROGASIL;(61) 32232554          ;10.243.51.12
2033;802;SP MOOCA 4;RUA DO ORATORIO, 982 , CEP - 03116000;MOOCA;SAO PAULO;SP;DROGASIL;(11) 26011780          ;10.243.52.12
2034;803;DF LAGO SUL 4;AEROPORTO INTER. BRASILIA JUSCELINO KUBITSCHEK UNI, S/N , CEP - 71608900;SETOR HABIT. INDIVIDUAIS SUL;BRASILIA;DF;DROGASIL;(61) 33661730          ;10.243.53.12
2036;805;SP SANTANA 2;AVENIDA BRAZ LEME, 1700 , CEP - 02511000;CASA VERDE;SAO PAULO;SP;DROGASIL;(11) 35305818/ 35304464;10.243.55.12
2037;806;FRANCO DA ROCHA 1;RUA DONA AMALIA SESTINI, 201 , CEP - 07802260;COMPANHIA FAZENDA BELEM;FRANCO DA ROCHA;SP;DROGASIL;(11) 48114475          ;10.243.56.12
2038;807;BAURU 6;AVENIDA GETULIO VARGAS, 0 , CEP - 17018711;VILA AVIACAO;BAURU;SP;DROGASIL;(14) 30106236/30106501 ;10.243.57.12
2039;658;PIRACICABA F;RUA ANTONIO LOURENCO DO CANTO, 64 , CEP - 13417750;NOVA AMERICA;PIRACICABA;SP;RAIA;(19) 34261063/25375541 ;10.142.158.12
2040;808;SV GRACA 2;AVENIDA CENTENARIO, 2682 , CEP - 40155370;GRACA;SALVADOR;BA;DROGASIL; 32459931          ;10.243.58.12
2041;659;CABO FRIO B;AVENIDA JOAQUIM NOGUEIRA, 14 , CEP - 28909490;SAO CRISTOVAO;CABO FRIO;RJ;RAIA;(22) 26446286          ;192.201.159.12
2042;809;JAU 4;AVENIDA ZEZINHO MAGALHAES, 1932 , CEP - 17205190;VILA NOVA JAU;JAU;SP;DROGASIL;(14) 36218278/36218254 ;10.243.59.12
2043;810;JUIZ DE FORA 4;AV PRESIDENTE ITAMAR FRANCO, 2486 , CEP - 36025290;SAO MATEUS;JUIZ DE FORA;MG;DROGASIL;(32) 30311958          ;10.243.60.12
2044;811;SV RIO VERMELHO 1;RUA OSWALDO CRUZ, 69 , CEP - 41940000;RIO VERMELHO;SALVADOR;BA;DROGASIL;(71) 32408832          ;10.243.61.12
2046;660;SP VL ESPERANCA A;AVENIDA AMADOR BUENO DA VEIGA, 1586 , CEP - 03636101;PENHA DE FRANCA;SAO PAULO;SP;RAIA;(11) 26857028          ;10.142.160.12
2047;661;CP JD CHAPADAO B;AVENIDA ANDRADE NEVES, 2116 , CEP - 13070000;JARDIM CHAPADAO;CAMPINAS;SP;RAIA;(  ) 11111111          ;10.142.161.12
2048;662;SP JAGUARE A;AVENIDA PRESIDENTE ALTINO, 472 , CEP - 05323001;JAGUARÉ;SAO PAULO;SP;RAIA;(11) 37143497          ;10.142.162.12
2052;814;OSASCO 6;RUA JOAO CRUDO, 401 , CEP - 06090000;CENTRO;OSASCO;SP;DROGASIL;(11) 36811261/36813921 ;10.243.64.12
2053;663;ALPHAVILLE D;ALAMEDA GRAJAU, 60 , CEP - 06454050;ALPHAVILLE;BARUERI;SP;RAIA;(11) 41919404          ;10.142.163.12
2054;664;AMERICANA E;AVENIDA NOSSA SENHORA DE FATIMA, 697 , CEP - 13478540;VILA ISRAEL;AMERICANA;SP;RAIA;(19) 34681167          ;10.142.164.12
2055;665;CAMPOS GOYTACAZES C;RUA DOUTOR LACERDA SOBRINHO, 281 , CEP - 28010076;CENTRO;CAMPOS DOS GOYTACAZES;RJ;RAIA;(24) 27319168          ;192.201.165.12
2059;815;OSASCO 7;AVENIDA ANTONIO CARLOS COSTA, 796 , CEP - 06053004;BELA VISTA;OSASCO;SP;DROGASIL;(11) 36542768/36811083 ;10.243.65.12
2062;817;POA 1;AVENIDA NOVE DE JULHO, 893 , CEP - 08557100;VILA DAS ACACIAS;POA;SP;DROGASIL;(11) 46361190          ;10.243.67.12
2063;667;LIMEIRA F;RUA VINTE E CINCO DE MARCO, 454 , CEP - 13486118;BOA VISTA;LIMEIRA;SP;RAIA;(19) 34415332          ;10.142.167.12
2065;669;SP BUTANTA B;AVENIDA CORIFEU DE AZEVEDO MARQUES, 950 , CEP - 05582000;BUTANTA;SAO PAULO;SP;RAIA;(11) 37212053          ;10.142.169.12
2066;670;PA PETROPOLIS A;RUA BARAO DO AMAZONAS, 278 , CEP - 90670000;PETROPOLIS;PORTO ALEGRE;RS;RAIA;(51) 30225434          ;192.201.170.12
2067;818;DF ASA SUL 14;CLS 403 BLOCO C, S/N , CEP - 70237530;ASA SUL;BRASILIA;DF;DROGASIL;(61) 32269305          ;10.243.68.12
2069;671;RJ BARRA TIJUCA L;AVENIDA LUCIO COSTA, 5170 , CEP - 22630012;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;RAIA;(21) 33875633          ;192.201.171.12
2073;672;JACAREI B;RUA JOSE BENEDITO DUARTE, 214 , CEP - 12307200;PARQUE ITAMARATI;JACAREI;SP;RAIA;(12) 3952-9953         ;10.142.172.12
2074;265;UBERLANDIA 11;PRACA CLARIMUNDO CARNEIRO, 209 , CEP - 38400154;CENTRO;UBERLANDIA;MG;DROGASIL;(34) 32295498 /32104456;10.241.15.12
2075;673;CATANDUVA C;RUA BRASIL, 433 , CEP - 15800030;CENTRO;CATANDUVA;SP;RAIA;(17) 35235273/35237125 ;10.142.173.12
2076;674;MOGI GUACU C;RUA SAO BENEDITO, 2 , CEP - 13840108;LOTE;MOGI GUACU;SP;RAIA;(19) 38180255/38180432 ;10.142.174.12
2077;675;BERTIOGA A;RUA MANOEL GAJO, 551 , CEP - 11250000;PARQUE ESTORIL;BERTIOGA;SP;RAIA;(13) 40101755          ;10.142.175.12
2078;676;UBATUBA B;RUA CAPITAO FELIPE, 203 , CEP - 11688602;ITAGUA;UBATUBA;SP;RAIA;(12) 38323423          ;10.142.176.12
2079;820;SP SAO DOMINGOS 1;AVENIDA MUTINGA, 2674A , CEP - 05110000;JARDIM SANTO ELIAS;SAO PAULO;SP;DROGASIL;(11) 39014781/ 39014992;10.243.70.12
2081;822;DF ASA SUL 15;SCLS QD-309 BL-B LT-42/43/44, 0 , CEP - 70362540;ASA SUL;BRASILIA;DF;DROGASIL;(61) 34432305          ;10.243.72.12
2082;677;SP ALTO CAMBUCI A;RUA GASPAR FERNANDES, 416 , CEP - 01549000;VILA MONUMENTO;SAO PAULO;SP;RAIA;(11) 22725270          ;192.201.177.12
2085;824;SV PATAMARES 1;AVENIDA LUIS VIANA, 7532 , CEP - 41701005;ALPHAVILLE I;SALVADOR;BA;DROGASIL;(71) 33664665/33662365 ;10.243.74.12
2086;266;POCOS DE CALDAS 4;AVENIDA SANTO ANTONIO, 252 , CEP - 37701036;JARDIM CASCATINHA;POCOS DE CALDAS;MG;DROGASIL;(35) 37214996/37218868 ;10.241.16.12
2087;679;FRANCA D;AVENIDA FREI GERMANO, 2198 , CEP - 14405215;ESTACAO;FRANCA;SP;RAIA;(16) 37215655          ;10.142.179.12
2088;680;CARAGUATATUBA B;AVENIDA VEREADOR ARISTIDES ANIZIO DOS SANTOS, 805 , CEP - 11665150;INDAIA;CARAGUATATUBA;SP;RAIA;(12) 38834642          ;10.142.180.12
2091;825;VARGEM GRANDE PTA 1;AVENIDA ELIAS ALVES DA COSTA, 701 , CEP - 06730000;CENTRO;VARGEM GRANDE PAULISTA;SP;DROGASIL;(11) 41592197/41552198 ;10.243.75.12
2092;826;GARANHUNS 1;AV PRESIDENTE GETULIO VARGAS, 676 , CEP - 55296194;HELIOPOLIS;GARANHUNS;PE;DROGASIL;(87) 37613658          ;10.243.76.12
2093;827;CARAPICUIBA 1;AVENIDA INOCENCIO SERAFICO, 848 , CEP - 06320290;CENTRO;CARAPICUIBA;SP;DROGASIL;(11) 41644158          ;10.243.77.12
2094;683;ST CAMPO GRANDE B;AVENIDA SENADOR PINHEIRO MACHADO, 777 , CEP - 11075003;CAMPO GRANDE;SANTOS;SP;RAIA;(13) 32255911          ;10.142.183.12
2095;684;ST APARECIDA B;PRACA JOSE DOMINGUES MARTINS, 15 , CEP - 11035010;APARECIDA;SANTOS;SP;RAIA;(13) 30406533          ;10.142.184.12
2096;267;ARAGUARI 2;RUA AFONSO PENA, 699 , CEP - 38440118;CENTRO;ARAGUARI;MG;DROGASIL;(34) 32427739/32423293 ;10.241.17.12
2097;268;VICOSA 1;PRACA SILVIANO BRANDAO, 77 , CEP - 36570000;CENTRO;VICOSA;MG;DROGASIL;(31) 3891-0981         ;10.241.18.12
2098;685;ST GONZAGA E;PRACA INDEPENDENCIA, 18 , CEP - 11060100;GONZAGA;SANTOS;SP;RAIA;(13) 32840565          ;10.142.185.12
2099;686;S J CAMPOS G;RUA BACABAL, 588 , CEP - 12235680;PARQUE INDUSTRIAL;SAO JOSE DOS CAMPOS;SP;RAIA;(12) 39391595          ;10.142.186.12
2100;828;VT PRAIA CANTO 4;AVENIDA NOSSA SENHORA DA PENHA, 1166 , CEP - 29055130;PRAIA DO CANTO;VITORIA;ES;DROGASIL; 30196092          ;10.243.78.12
2101;687;SHOPPING RIO SUL;AVENIDA LAURO SODRE, 445 , CEP - 22290070;BOTAFOGO;RIO DE JANEIRO;RJ;RAIA;(21) 25425962          ;192.201.187.12
2102;688;MARINGA G;AVENIDA PEDRO TAQUES, 517 , CEP - 87030000;ZONA 7;MARINGA;PR;RAIA;(44) 32224498          ;192.201.188.12
2105;830;OSASCO 8;RUA NOSSA SENHORA IMACULADA CONCEICAO, 269 , CEP - 06190100;KM 18;OSASCO;SP;DROGASIL;(11) 36072671/36071676 ;10.243.80.12
2107;690;CASCAVEL C;RUA MATO GROSSO, 2084 , CEP - 85812025;CENTRO;CASCAVEL;PR;RAIA;(45) 30374146          ;192.201.190.12
2108;691;CASCAVEL D;RUA MARECHAL CANDIDO RONDON, 1894 , CEP - 85801170;CENTRO;CASCAVEL;PR;RAIA;(45) 30382854          ;192.201.191.12
2109;692;BARRETOS B;AVENIDA JOAO BARONI, 601 , CEP - 14784360;JARDIM SOARES;BARRETOS;SP;RAIA;(17) 33234669          ;10.142.192.12
2110;832;SP VILA MATILDE 2;AVENIDA WALDEMAR CARLOS PEREIRA, 588 , CEP - 03533000;VILA TALARICO;SAO PAULO;SP;DROGASIL;(11) 20823277/20828627 ;10.243.82.12
2111;693;CT AGUA VERDE C;AVENIDA SILVA JARDIM, 3061 , CEP - 80240020;AGUA VERDE;CURITIBA;PR;RAIA;(41) 32439263          ;192.201.193.12
2112;833;BELA VISTA 5;RUA MAESTRO CARDIM, 852 , CEP - 01323001;LIBERDADE;SAO PAULO;SP;DROGASIL;(11) 32663071          ;10.243.83.12
2113;834;MAUA 1;RUA SAO SILVESTRE, 139 , CEP - 09370020;JARDIM PILAR;MAUA;SP;DROGASIL;(11) 45150555          ;10.243.84.12
2114;835;TABOAO DA SERRA 4;RUA GETULIO VARGAS, 54 , CEP - 06754030;VL SANTA LUZIA;TABOAO DA SERRA;SP;DROGASIL;(11) 41358115          ;10.243.85.12
2115;694;SOROCABA H;AVENIDA DOUTOR ARMANDO PANNUNZIO, 486 , CEP - 18050000;JARDIM VERA CRUZ;SOROCABA;SP;RAIA;(15) 32173840          ;10.142.194.12
2116;695;FL CENTRO D;AVENIDA JORNALISTA RUBENS DE ARRUDA RAMOS, 1254 , CEP - 88015700;CENTRO;FLORIANOPOLIS;SC;RAIA;(48) 32239986          ;192.201.195.12
2117;836;EMBU DAS ARTES 1;AVENIDA ELIAS YAZBEK, 496 , CEP - 06803000;TINGIDOR;EMBU DAS ARTES;SP;DROGASIL;(11) 47044027/47044040 ;10.243.86.12
2118;837;ITAQUAQUECETUBA 1;RUA SEBASTIAO FERREIRA DOS SANTOS, 94 , CEP - 08570060;CENTRO;ITAQUAQUECETUBA;SP;DROGASIL; 46425603          ;10.243.87.12
2119;696;GUARULHOS H;AVENIDA GUARULHOS, 1452 , CEP - 07025000;VILA AUGUSTA;GUARULHOS;SP;RAIA;(11) 23047881          ;10.142.196.12
2120;697;SP MOEMA E;AV IBIRAPUERA, 3103 , CEP - 04029902;IBIRAPUERA;SAO PAULO;SP;RAIA;(11) 50419878          ;10.142.197.12
2125;839;INDAIATUBA 4;AVENIDA FRANCISCO DE PAULA LEITE, 1242 , CEP - 13344325;JARDIM CALIFORNIA;INDAIATUBA;SP;DROGASIL;(19) 38352242/38351860 ;10.243.89.12
2126;709;ARAUCARIA A;AVENIDA DOUTOR VICTOR DO AMARAL, 1021 , CEP - 83702040;CENTRO;ARAUCARIA;PR;RAIA;(41) 35526834          ;192.201.209.12
2127;711;S J DOS CAMPOS H;AVENIDA DOUTOR JOAO GUILHERMINO, 370 , CEP - 12210130;CENTRO;SAO JOSE DOS CAMPOS;SP;RAIA; 39133788          ;10.142.211.12
2128;712;NOVA FRIBURGO B;AVENIDA ALBERTO BRAUNE, 52 , CEP - 28613000;CENTRO;NOVA FRIBURGO;RJ;RAIA;(22) 25232804          ;192.201.212.12
2130;841;S CAETANO DO SUL 7;RUA VISCONDE DE INHAUMA, 1004 , CEP - 09571380;OSVALDO CRUZ;SAO CAETANO DO SUL;SP;DROGASIL;(11) 42322651          ;10.243.91.12
2132;715;ERECHIM B;AVENIDA MAURICIO CARDOSO, 265 , CEP - 99700426;CENTRO;ERECHIM;RS;RAIA;(54) 35191869          ;192.201.215.12
2133;716;RIO DAS OSTRAS A;R BOM JESUS DO ITABAPOANA, 61 , CEP - 28896070;JD MARILEA;RIO DAS OSTRAS;RJ;RAIA; ;192.201.216.12
2134;714;CAPIVARI A;RUA QUINZE DE NOVEMBRO, 612 , CEP - 13360000;CENTRO;CAPIVARI;SP;RAIA;(19) 34916929          ;10.142.214.12
2136;717;PONTA GROSSA D;RUA BALDUINO TAQUES, 775 , CEP - 84010050;CENTRO;PONTA GROSSA;PR;RAIA;(42) 32290962          ;192.201.217.12
